epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71,2.14271,3.94826,1.57767,0,0,0,0,2.54077,3.88305,1.8572,0,0,0
2,10.0806,2.47386,3.88533,1.58695,0,0,0,0,2.42189,3.87348,1.77666,1.9802e-05,1.9802e-05,1.9802e-05
3,14.3768,2.35281,3.90427,1.60504,0,0,0,0,2.0877,3.85859,1.60549,3.9208e-05,3.9208e-05,3.9208e-05
4,20.4723,2.2415,3.82643,1.50132,0.00167,0.07143,0.00025,3e-05,1.95359,3.83521,1.54489,5.8218e-05,5.8218e-05,5.8218e-05
5,25.1812,2.07665,3.78214,1.45475,0.00667,0.28571,0.00207,0.00053,1.77276,3.73448,1.37692,7.6832e-05,7.6832e-05,7.6832e-05
6,29.8686,2.16078,3.62099,1.44763,0.01167,0.5,0.01007,0.00439,1.66857,3.6853,1.31947,9.505e-05,9.505e-05,9.505e-05
7,34.4452,1.88036,3.4807,1.25264,0.01667,0.71429,0.0276,0.012,1.66044,3.57281,1.26679,0.000112872,0.000112872,0.000112872
8,39.5266,2.14614,3.34723,1.22914,0.02167,0.92857,0.05739,0.0234,1.61951,3.49087,1.21163,0.000130298,0.000130298,0.000130298
9,44.157,1.88851,3.1491,1.15854,0.02333,1,0.0648,0.02958,1.58507,3.39779,1.16911,0.000147328,0.000147328,0.000147328
10,50.775,2.00597,2.90267,1.15068,0.02333,1,0.06602,0.03391,1.47961,3.35284,1.12679,0.000163962,0.000163962,0.000163962
11,56.073,1.94279,2.71676,1.11649,0.02333,1,0.06862,0.03694,1.40187,3.30415,1.09111,0.0001802,0.0001802,0.0001802
12,61.9972,2.01128,2.31449,1.11608,0.02333,1,0.07332,0.0407,1.37534,3.25827,1.07646,0.000196042,0.000196042,0.000196042
13,67.0132,1.8098,1.9337,1.10555,0.02333,1,0.0737,0.0375,1.40876,3.22321,1.08488,0.000211488,0.000211488,0.000211488
14,72.1284,2.00447,1.85682,1.04459,0.02333,1,0.07107,0.03483,1.38899,3.17366,1.0744,0.000226538,0.000226538,0.000226538
15,76.1884,1.64493,1.54352,1.09947,0.02333,1,0.07489,0.0396,1.29895,3.09751,1.02166,0.000241192,0.000241192,0.000241192
16,80.452,1.95265,1.56012,1.0591,0.02333,1,0.07255,0.04139,1.25673,3.06146,0.99909,0.00025545,0.00025545,0.00025545
17,84.6535,1.50716,1.30786,1.00992,0.02333,1,0.07255,0.04075,1.22868,3.03993,0.99055,0.000269312,0.000269312,0.000269312
18,88.2547,1.57275,1.21237,0.99978,0.02333,1,0.07255,0.04075,1.22868,3.03993,0.99055,0.000282778,0.000282778,0.000282778
19,92.6115,1.63348,1.20482,1.00518,0.02333,1,0.0741,0.03972,1.29624,3.03587,1.02171,0.000295848,0.000295848,0.000295848
20,96.2958,1.34875,1.37003,1.02073,0.02333,1,0.0741,0.03972,1.29624,3.03587,1.02171,0.000308522,0.000308522,0.000308522
21,100.209,1.29672,1.1973,1.01003,0.02333,1,0.07255,0.03685,1.39047,3.03601,1.06478,0.0003208,0.0003208,0.0003208
22,104.089,1.58774,1.27464,1.03706,0.02333,1,0.07255,0.03685,1.39047,3.03601,1.06478,0.000332682,0.000332682,0.000332682
23,108.025,1.54205,1.10605,1.04538,0.02333,1,0.07255,0.03299,1.47276,3.0347,1.11494,0.000344168,0.000344168,0.000344168
24,111.978,1.61805,1.16766,1.06567,0.02333,1,0.07255,0.03299,1.47276,3.0347,1.11494,0.000355258,0.000355258,0.000355258
25,117.03,1.56175,1.14711,1.08217,0.02333,1,0.15353,0.08459,1.51753,2.98979,1.14854,0.000365952,0.000365952,0.000365952
26,121.201,1.28674,1.08707,1.04147,0.02333,1,0.15353,0.08459,1.51753,2.98979,1.14854,0.00037625,0.00037625,0.00037625
27,125.617,1.65053,1.1959,1.08273,0.02333,1,0.271,0.07861,1.56547,2.95222,1.15633,0.000386152,0.000386152,0.000386152
28,129.444,1.35527,1.0439,1.03648,0.02333,1,0.271,0.07861,1.56547,2.95222,1.15633,0.000395658,0.000395658,0.000395658
29,133.441,1.46774,1.08857,1.01165,0.02333,1,0.11575,0.04551,1.49248,2.97741,1.1145,0.000404768,0.000404768,0.000404768
30,137.328,1.41299,1.12998,1.08029,0.02333,1,0.11575,0.04551,1.49248,2.97741,1.1145,0.000413482,0.000413482,0.000413482
31,141.444,1.28856,1.04482,1.02704,0.02333,1,0.06408,0.03253,1.32562,2.97521,1.02361,0.0004218,0.0004218,0.0004218
32,145.641,1.43962,1.01275,0.99975,0.02333,1,0.06408,0.03253,1.32562,2.97521,1.02361,0.000429722,0.000429722,0.000429722
33,150.76,1.63405,1.07818,1.02246,0.02333,1,0.0603,0.03113,1.25648,2.99093,0.98283,0.000437248,0.000437248,0.000437248
34,155.412,1.34471,1.09895,1.07964,0.02333,1,0.0603,0.03113,1.25648,2.99093,0.98283,0.000444378,0.000444378,0.000444378
35,159.804,1.37024,1.05853,1.04097,0.02333,1,0.05903,0.02962,1.29909,2.99576,1.0034,0.000451112,0.000451112,0.000451112
36,164.732,1.35055,1.00113,1.0012,0.02333,1,0.05903,0.02962,1.29909,2.99576,1.0034,0.00045745,0.00045745,0.00045745
37,168.869,1.41334,1.04689,1.03577,0.02333,1,0.05804,0.02842,1.41553,2.97873,1.07467,0.000463392,0.000463392,0.000463392
38,172.802,1.2619,0.90882,0.97386,0.02333,1,0.05804,0.02842,1.41553,2.97873,1.07467,0.000468938,0.000468938,0.000468938
39,176.684,1.32963,1.00542,1.02155,0.02333,1,0.05463,0.02728,1.51856,2.90987,1.13,0.000474088,0.000474088,0.000474088
40,181.429,1.40152,0.98625,1.00207,0.02333,1,0.05463,0.02728,1.51856,2.90987,1.13,0.000478842,0.000478842,0.000478842
41,185.359,1.32372,0.92018,1.03752,0.02333,1,0.05065,0.02437,1.55894,2.89116,1.14793,0.0004832,0.0004832,0.0004832
42,189.178,1.22065,0.96213,1.0193,0.02333,1,0.05065,0.02437,1.55894,2.89116,1.14793,0.000487162,0.000487162,0.000487162
43,193.456,1.28496,0.90922,1.00845,0.02333,1,0.05121,0.02729,1.49243,2.91711,1.09424,0.000490728,0.000490728,0.000490728
44,197.016,1.1501,0.88856,1.01468,0.02333,1,0.05121,0.02729,1.49243,2.91711,1.09424,0.000493898,0.000493898,0.000493898
45,200.99,1.33227,0.87362,0.9568,0.02333,1,0.04922,0.02602,1.40782,3.00937,1.06063,0.000496672,0.000496672,0.000496672
46,204.974,1.41974,0.93851,0.9461,0.02333,1,0.04922,0.02602,1.40782,3.00937,1.06063,0.00049905,0.00049905,0.00049905
47,209.151,1.3496,0.97946,1.02753,0.02333,1,0.04706,0.02487,1.41401,3.09499,1.06533,0.000501032,0.000501032,0.000501032
48,213.865,1.38868,0.9286,0.99542,0.02333,1,0.04706,0.02487,1.41401,3.09499,1.06533,0.000502618,0.000502618,0.000502618
49,217.72,1.32513,0.8809,0.964,0.02333,1,0.04479,0.02217,1.40898,3.10832,1.07075,0.000503808,0.000503808,0.000503808
50,222.258,1.404,0.88881,0.93974,0.02333,1,0.04479,0.02217,1.40898,3.10832,1.07075,0.000504602,0.000504602,0.000504602
51,226.371,1.24567,0.90731,0.97396,0.02333,1,0.04537,0.02468,1.30813,2.9829,1.03154,0.000505,0.000505,0.000505
52,230.988,1.28331,0.91138,0.96245,0.02333,1,0.04537,0.02468,1.30813,2.9829,1.03154,0.000505002,0.000505002,0.000505002
