epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22401,2.12804,3.90811,1.59581,0,0,0,0,2.46287,3.87874,1.80842,2e-05,2e-05,2e-05
2,10.2971,2.31073,3.93057,1.55739,0,0,0,0,2.08422,3.83776,1.6015,5.9802e-05,5.9802e-05,5.9802e-05
3,14.8295,2.2978,3.75649,1.50297,0.00667,0.28571,0.00224,0.00056,1.82982,3.71368,1.39208,9.934e-05,9.934e-05,9.934e-05
4,19.6623,2.0122,3.51338,1.27796,0.02167,0.92857,0.05182,0.01869,1.71041,3.53499,1.2454,0.000138614,0.000138614,0.000138614
5,24.7757,2.14055,3.20755,1.25363,0.02333,1,0.06496,0.03011,1.52687,3.41362,1.15355,0.000177624,0.000177624,0.000177624
6,29.9131,1.95189,2.80614,1.15794,0.02333,1,0.07293,0.03853,1.3991,3.35068,1.10087,0.00021637,0.00021637,0.00021637
7,34.2162,1.75222,2.38098,1.1506,0.02333,1,0.07696,0.04406,1.2884,3.28733,1.0473,0.000254852,0.000254852,0.000254852
8,39.7394,1.95813,1.98891,1.08524,0.02333,1,0.0753,0.03895,1.29364,3.22733,1.04829,0.00029307,0.00029307,0.00029307
9,44.3763,1.89727,1.86524,1.08681,0.02333,1,0.07826,0.04118,1.27048,3.14868,1.03349,0.000331024,0.000331024,0.000331024
10,49.3937,1.76471,1.55129,1.11575,0.02333,1,0.0796,0.04282,1.27927,3.09313,1.02777,0.000368714,0.000368714,0.000368714
11,56.6182,1.61356,1.40592,1.07956,0.02333,1,0.08052,0.0466,1.26523,3.12444,1.04217,0.00040614,0.00040614,0.00040614
12,63.3052,1.54101,1.59005,1.04315,0.02333,1,0.08816,0.04977,1.19874,3.10148,1.01525,0.000443302,0.000443302,0.000443302
13,69.9426,1.58758,1.50489,1.07773,0.02333,1,0.09541,0.04831,1.19756,3.04667,0.99918,0.0004802,0.0004802,0.0004802
14,76.123,1.76752,1.23933,1.0424,0.02333,1,0.09164,0.04646,1.22802,3.01304,1.0157,0.000516834,0.000516834,0.000516834
15,81.3283,1.4832,1.17203,1.06423,0.02333,1,0.09164,0.04646,1.22802,3.01304,1.0157,0.000553204,0.000553204,0.000553204
16,85.7604,1.94518,1.29917,1.03581,0.02333,1,0.09071,0.04934,1.30466,2.97485,1.06247,0.00058931,0.00058931,0.00058931
17,90.9762,1.4471,1.1929,1.0553,0.02333,1,0.10076,0.05285,1.33773,2.9303,1.08916,0.000625152,0.000625152,0.000625152
18,96.0619,1.38748,1.03027,1.00716,0.02333,1,0.10076,0.05285,1.33773,2.9303,1.08916,0.00066073,0.00066073,0.00066073
19,100.597,1.52669,1.18375,1.02924,0.02167,0.92857,0.065,0.03556,1.33126,2.95468,1.0861,0.000696044,0.000696044,0.000696044
20,105.066,1.39735,1.21184,1.13775,0.02167,0.92857,0.05809,0.03252,1.31029,3.02323,1.09069,0.000731094,0.000731094,0.000731094
21,108.951,1.25151,1.45823,1.05541,0.02167,0.92857,0.05809,0.03252,1.31029,3.02323,1.09069,0.00076588,0.00076588,0.00076588
